#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 195399:2692 | 06/02/12 23:25:44 | 383  | 383  | 13523383.493   | 13398396.733  |
| 195529:2698 | 06/04/12 15:58:36 | 59   | 59   | 8018099.448    | 7737903.907   |
| 195530:2698 | 06/04/12 16:30:17 | 592  | 592  | 66257088.104   | 65323373.404  |
| 195540:2700 | 06/05/12 02:45:46 | 246  | 246  | 32655158.057   | 31910873.992  |
| 195551:2701 | 06/05/12 07:35:46 | 16   | 16   | 2283516.825    | 1996680.472   |
| 195552:2701 | 06/05/12 07:44:56 | 1789 | 1789 | 158750279.120  | 156841497.042 |
| 195633:2710 | 06/06/12 16:06:39 | 3    | 3    | 463237.060     | 334096.687    |
| 195634:2710 | 06/06/12 16:21:53 | 56   | 56   | 8231503.314    | 7607897.341   |
| 195644:2710 | 06/06/12 16:58:38 | 52   | 52   | 7183587.217    | 6966511.341   |
| 195645:2710 | 06/06/12 17:24:42 | 23   | 23   | 2463732.162    | 2199722.667   |
| 195647:2710 | 06/06/12 17:39:00 | 40   | 40   | 5223646.360    | 5098618.017   |
| 195649:2710 | 06/06/12 17:58:35 | 247  | 247  | 29502731.412   | 29006648.002  |
| 195655:2710 | 06/06/12 19:55:18 | 498  | 498  | 47960338.952   | 47388963.785  |
| 195656:2710 | 06/06/12 23:11:12 | 355  | 355  | 28362969.366   | 28140735.474  |
| 195658:2710 | 06/07/12 02:24:17 | 386  | 386  | 25072112.190   | 24789814.824  |
| 195749:2711 | 06/07/12 13:10:15 | 128  | 128  | 17852324.950   | 17050132.514  |
| 195757:2711 | 06/07/12 14:06:05 | 184  | 184  | 23033147.985   | 21904420.867  |
| 195758:2711 | 06/07/12 15:29:14 | 18   | 18   | 2111581.971    | 2025777.566   |
| 195774:2712 | 06/07/12 18:50:44 | 928  | 928  | 106930143.569  | 105036737.133 |
| 195775:2712 | 06/08/12 01:09:27 | 163  | 163  | 13755243.622   | 13538952.279  |
| 195776:2712 | 06/08/12 02:18:13 | 475  | 475  | 34862556.281   | 34575640.582  |
| 195841:2713 | 06/08/12 11:43:35 | 6    | 6    | 886499.526     | 859481.855    |
| 195868:2714 | 06/08/12 15:09:13 | 203  | 203  | 26574994.437   | 25880137.458  |
| 195915:2717 | 06/09/12 09:16:16 | 847  | 847  | 96712903.761   | 95130866.344  |
| 195916:2717 | 06/09/12 14:52:48 | 213  | 213  | 18431391.467   | 18255589.988  |
| 195917:2717 | 06/09/12 16:17:55 | 5    | 5    | 411681.761     | 329118.155    |
| 195918:2717 | 06/09/12 16:24:51 | 65   | 65   | 5246829.669    | 5143164.276   |
| 195919:2717 | 06/09/12 16:54:13 | 16   | 16   | 1262847.512    | 1236189.633   |
| 195923:2717 | 06/09/12 17:04:18 | 15   | 15   | 1169514.898    | 1093416.048   |
| 195925:2717 | 06/09/12 17:13:36 | 13   | 13   | 1003248.444    | 983425.273    |
| 195926:2717 | 06/09/12 17:22:10 | 35   | 35   | 2665983.555    | 2620171.438   |
| 195929:2717 | 06/09/12 17:48:55 | 29   | 29   | 2146062.978    | 2130638.430   |
| 195930:2717 | 06/09/12 18:02:59 | 597  | 597  | 38790693.033   | 38357960.323  |
| 195937:2717 | 06/09/12 22:11:12 | 394  | 394  | 21368344.708   | 21225788.823  |
