#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 201817:3011 | 08/28/12 03:13:38 | 274  | 274  | 24498340.919   | 24138064.819  |
| 201818:3011 | 08/28/12 05:05:10 | 1    | 1    | 82360.716      | 80227.575     |
| 201819:3011 | 08/28/12 05:12:55 | 238  | 238  | 18356143.236   | 18117739.545  |
| 201824:3011 | 08/28/12 06:50:23 | 492  | 492  | 31604590.745   | 31343694.850  |
| 202012:3016 | 08/30/12 20:21:04 | 23   | 23   | 3236777.125    | 2551809.849   |
| 202014:3016 | 08/30/12 21:03:03 | 189  | 189  | 21966251.406   | 19986230.278  |
| 202016:3016 | 08/30/12 22:27:00 | 1010 | 1010 | 79594301.998   | 78910731.017  |
| 202044:3018 | 08/31/12 15:05:04 | 358  | 358  | 45581996.268   | 44550837.058  |
| 202045:3018 | 08/31/12 17:38:56 | 810  | 810  | 71700385.265   | 70910291.929  |
| 202060:3019 | 09/01/12 07:35:49 | 855  | 855  | 91169853.176   | 89923326.219  |
| 202074:3020 | 09/01/12 21:25:18 | 101  | 101  | 14858878.200   | 14355066.850  |
| 202075:3020 | 09/01/12 22:13:25 | 598  | 598  | 65647278.426   | 64756262.163  |
| 202084:3021 | 09/02/12 05:09:43 | 148  | 148  | 20529393.856   | 19951781.002  |
| 202087:3021 | 09/02/12 06:24:11 | 1087 | 1087 | 100128038.458  | 98831403.065  |
| 202088:3021 | 09/02/12 13:32:00 | 286  | 286  | 17914596.361   | 17750702.044  |
| 202093:3021 | 09/02/12 15:42:54 | 360  | 360  | 18675081.978   | 18534016.231  |
| 202178:3025 | 09/03/12 16:29:55 | 1483 | 1483 | 131367676.053  | 129833313.462 |
| 202205:3027 | 09/04/12 10:20:49 | 20   | 20   | 2757859.275    | 2678565.361   |
| 202209:3027 | 09/04/12 10:37:36 | 142  | 142  | 17923336.489   | 17631122.829  |
| 202237:3029 | 09/04/12 19:49:54 | 895  | 895  | 104889656.315  | 103203596.231 |
| 202272:3032 | 09/05/12 11:58:46 | 1341 | 1341 | 116348347.948  | 113674119.058 |
| 202299:3033 | 09/06/12 07:13:46 | 471  | 471  | 60976800.240   | 59762850.495  |
| 202305:3033 | 09/06/12 14:43:24 | 323  | 323  | 22554140.022   | 22390945.288  |
| 202314:3034 | 09/06/12 19:30:23 | 189  | 189  | 29175915.264   | 28346042.899  |
| 202328:3036 | 09/07/12 02:01:07 | 527  | 527  | 68431827.717   | 66930882.098  |
| 202333:3036 | 09/07/12 05:57:24 | 235  | 235  | 23270232.683   | 23036837.397  |
| 202389:3039 | 09/07/12 19:53:18 | 96   | 96   | 14694856.732   | 14229308.050  |
| 202469:3045 | 09/08/12 18:25:07 | 246  | 246  | 35772082.270   | 34929622.064  |
| 202472:3045 | 09/08/12 20:27:14 | 102  | 102  | 12390361.706   | 12139135.601  |
| 202477:3045 | 09/08/12 21:27:13 | 150  | 150  | 16292791.045   | 15976774.055  |
| 202478:3045 | 09/08/12 22:27:02 | 1248 | 1248 | 96753399.650   | 95809821.485  |
| 202504:3047 | 09/09/12 15:27:41 | 1615 | 1615 | 143411255.993  | 141507206.746 |
| 202972:3067 | 09/15/12 16:23:39 | 578  | 578  | 61215788.703   | 60331129.881  |
| 202973:3067 | 09/15/12 21:33:27 | 1203 | 1203 | 71888452.032   | 71403712.747  |
| 203002:3071 | 09/16/12 16:09:21 | 1493 | 1493 | 138648908.045  | 136549480.409 |
| 203709:3087 | 09/26/12 10:34:10 | 121  | 121  | 738184.678     | 730738.946    |
| 203742:3102 | 09/27/12 07:38:02 | 22   | 22   | 650877.400     | 639107.725    |
| 203777:3108 | 09/28/12 04:02:15 | 11   | 11   | 813976.915     | 807749.995    |
| 203830:3109 | 09/28/12 14:42:04 | 101  | 101  | 6436278.276    | 6289910.600   |
| 203832:3109 | 09/28/12 15:24:30 | 11   | 11   | 667952.014     | 602326.616    |
| 203833:3109 | 09/28/12 15:33:54 | 128  | 128  | 7328410.542    | 7196438.489   |
| 203834:3109 | 09/28/12 16:27:57 | 40   | 40   | 2156263.704    | 2104582.891   |
| 203835:3109 | 09/28/12 16:47:57 | 358  | 358  | 17100202.644   | 16919055.197  |
| 203853:3110 | 09/29/12 02:31:42 | 96   | 96   | 11045472.806   | 10920050.457  |
| 203894:3113 | 09/30/12 01:23:28 | 1236 | 1236 | 101992185.787  | 100995067.601 |
| 203909:3114 | 09/30/12 12:25:06 | 267  | 267  | 36813941.935   | 35488387.923  |
| 203912:3114 | 09/30/12 14:34:51 | 1321 | 1321 | 106340882.524  | 105348785.565 |
| 203980:3121 | 10/01/12 20:40:16 | 66   | 66   | 9136594.586    | 8997458.834   |
| 203981:3121 | 10/01/12 21:16:19 | 99   | 99   | 12277803.002   | 11994581.658  |
| 203985:3121 | 10/01/12 22:08:26 | 10   | 10   | 1164513.256    | 419300.305    |
| 203986:3121 | 10/01/12 22:15:39 | 45   | 45   | 5074553.155    | 2087604.416   |
| 203987:3121 | 10/01/12 22:36:16 | 1011 | 1011 | 84124053.589   | 83366461.744  |
| 203991:3121 | 10/02/12 05:25:33 | 3    | 3    | 188880.186     | 113373.777    |
| 203992:3121 | 10/02/12 05:28:26 | 12   | 12   | 751838.050     | 648916.339    |
| 203994:3121 | 10/02/12 05:39:50 | 424  | 424  | 23815679.524   | 23557061.489  |
| 204100:3124 | 10/02/12 18:36:56 | 18   | 18   | 2510358.376    | 2364747.276   |
| 204101:3124 | 10/02/12 18:52:37 | 72   | 72   | 9520894.342    | 9208369.556   |
| 204113:3126 | 10/03/12 01:51:46 | 588  | 588  | 76984351.725   | 75391501.946  |
| 204114:3126 | 10/03/12 05:54:33 | 358  | 358  | 33920050.811   | 33497372.922  |
| 204238:3128 | 10/03/12 18:37:56 | 31   | 31   | 4458547.778    | 4340847.272   |
| 204250:3129 | 10/03/12 23:49:36 | 638  | 638  | 73364019.688   | 72159155.896  |
| 204541:3133 | 10/05/12 08:18:44 | 178  | 178  | 26891622.245   | 25473991.820  |
| 204544:3133 | 10/05/12 09:42:19 | 426  | 426  | 48614879.437   | 47698108.631  |
| 204552:3133 | 10/05/12 16:23:19 | 9    | 9    | 631608.518     | 577362.202    |
| 204553:3133 | 10/05/12 16:29:34 | 101  | 101  | 6887755.321    | 6794797.132   |
| 204554:3133 | 10/05/12 17:13:03 | 513  | 513  | 30664409.944   | 30428748.903  |
| 204555:3133 | 10/05/12 20:35:46 | 334  | 334  | 16836463.644   | 16749119.037  |
| 204563:3134 | 10/06/12 01:40:03 | 289  | 289  | 36770592.217   | 36201380.725  |
| 204564:3134 | 10/06/12 04:52:12 | 1284 | 1284 | 106391549.646  | 105257058.329 |
| 204565:3134 | 10/06/12 13:16:56 | 48   | 48   | 2889247.812    | 2839431.678   |
| 204566:3134 | 10/06/12 13:39:47 | 12   | 12   | 709061.188     | 663662.066    |
| 204567:3134 | 10/06/12 13:49:03 | 32   | 32   | 1862838.123    | 1849796.550   |
| 204576:3135 | 10/06/12 16:29:45 | 240  | 240  | 34452148.708   | 32569828.310  |
| 204577:3135 | 10/06/12 19:07:05 | 839  | 839  | 73270931.629   | 72591717.344  |
| 204599:3138 | 10/07/12 13:04:37 | 252  | 252  | 37103314.251   | 36218580.369  |
| 204601:3138 | 10/07/12 14:52:14 | 1242 | 1242 | 107969515.161  | 106830022.782 |
| 205086:3169 | 10/13/12 14:22:31 | 55   | 55   | 401750.460     | 390707.213    |
| 205111:3178 | 10/14/12 03:50:15 | 300  | 300  | 40131386.955   | 39342136.323  |
| 205158:3182 | 10/14/12 18:59:32 | 631  | 631  | 74796452.000   | 73539864.888  |
| 205193:3185 | 10/15/12 08:44:37 | 817  | 817  | 93048468.752   | 91633957.737  |
| 205217:3185 | 10/15/12 14:25:40 | 313  | 313  | 24171170.405   | 23979430.931  |
| 205233:3188 | 10/16/12 00:03:49 | 56   | 56   | 8205514.265    | 7877537.824   |
| 205236:3188 | 10/16/12 00:37:15 | 348  | 348  | 40757405.848   | 40100346.109  |
| 205238:3188 | 10/16/12 02:59:25 | 616  | 616  | 51321308.042   | 50733639.114  |
| 205303:3191 | 10/16/12 19:59:12 | 100  | 100  | 14167808.484   | 13780241.638  |
| 205310:3192 | 10/16/12 23:23:18 | 403  | 403  | 49922318.034   | 48986476.406  |
| 205311:3192 | 10/17/12 02:36:46 | 1256 | 1256 | 90309049.800   | 89452417.950  |
| 205339:3194 | 10/17/12 15:42:48 | 326  | 326  | 42122414.694   | 41301552.505  |
| 205344:3194 | 10/17/12 17:57:26 | 1520 | 1520 | 116573234.841  | 115423581.149 |
| 205515:3200 | 10/19/12 07:11:42 | 133  | 133  | 17638948.926   | 17077922.669  |
| 205519:3200 | 10/19/12 08:08:47 | 471  | 471  | 45016600.145   | 44457138.972  |
| 205526:3200 | 10/19/12 11:18:04 | 343  | 343  | 23353714.945   | 23122089.976  |
| 205598:3201 | 10/19/12 21:15:48 | 6    | 6    | 922803.822     | 2965.917      |
| 205599:3201 | 10/19/12 21:26:55 | 3    | 3    | 453878.829     | 1213.344      |
| 205605:3201 | 10/19/12 22:18:15 | 60   | 60   | 7481558.104    | 7303290.230   |
| 205614:3201 | 10/19/12 23:21:46 | 40   | 40   | 4300248.283    | 4158500.459   |
| 205617:3201 | 10/19/12 23:44:02 | 547  | 547  | 46143107.856   | 45604047.003  |
| 205618:3201 | 10/20/12 03:22:22 | 12   | 12   | 802447.686     | 758379.335    |
| 205620:3201 | 10/20/12 03:41:03 | 206  | 206  | 12258974.910   | 12145318.293  |
| 205666:3203 | 10/20/12 16:22:13 | 612  | 612  | 77253960.394   | 75748425.465  |
| 205667:3203 | 10/20/12 20:50:39 | 1109 | 1109 | 86469520.512   | 85698195.678  |
| 205683:3204 | 10/21/12 07:26:48 | 228  | 228  | 29414601.199   | 28691698.441  |
| 205690:3204 | 10/21/12 09:01:18 | 40   | 40   | 4408091.710    | 4312161.611   |
| 205694:3204 | 10/21/12 09:54:58 | 861  | 861  | 61129187.788   | 60585880.077  |
| 205718:3207 | 10/21/12 21:59:10 | 620  | 620  | 83850615.991   | 81819657.915  |
| 205774:3208 | 10/22/12 09:38:23 | 78   | 78   | 10610519.950   | 10412825.092  |
| 205777:3208 | 10/22/12 10:14:02 | 8    | 8    | 1053643.730    | 914467.632    |
| 205781:3208 | 10/22/12 10:26:53 | 495  | 495  | 54278047.830   | 53465850.826  |
| 205826:3209 | 10/22/12 21:23:54 | 343  | 343  | 45349473.105   | 44451170.235  |
| 205833:3210 | 10/23/12 02:38:21 | 242  | 242  | 35326009.615   | 34388272.686  |
| 205834:3210 | 10/23/12 04:28:36 | 194  | 194  | 23242961.956   | 22916966.974  |
| 205908:3212 | 10/23/12 14:24:18 | 123  | 123  | 18183313.370   | 17679499.081  |
| 205921:3214 | 10/23/12 23:42:10 | 790  | 790  | 89268370.164   | 87459633.367  |
| 206066:3220 | 10/25/12 12:00:38 | 54   | 54   | 7876831.944    | 7570596.276   |
| 206088:3223 | 10/25/12 20:11:46 | 1    | 1    | 132949.272     | 44062.048     |
| 206102:3226 | 10/26/12 05:19:39 | 250  | 250  | 34595142.730   | 33664553.688  |
| 206187:3229 | 10/26/12 23:38:19 | 382  | 382  | 51632862.443   | 50314671.078  |
| 206188:3229 | 10/27/12 03:37:16 | 55   | 55   | 5785124.029    | 5730271.695   |
| 206199:3231 | 10/27/12 11:45:03 | 112  | 112  | 14914855.223   | 14630149.866  |
| 206207:3232 | 10/27/12 14:51:57 | 539  | 539  | 68489538.354   | 67448144.250  |
| 206208:3232 | 10/27/12 18:53:12 | 546  | 546  | 48493340.347   | 48008836.722  |
| 206210:3232 | 10/27/12 22:28:52 | 462  | 462  | 31850369.421   | 31561890.843  |
| 206243:3236 | 10/28/12 16:09:51 | 812  | 812  | 96863360.880   | 94934032.610  |
| 206245:3236 | 10/28/12 21:51:24 | 62   | 62   | 5403311.412    | 5279595.522   |
| 206246:3236 | 10/28/12 22:21:57 | 1282 | 1282 | 81049384.152   | 80371845.561  |
| 206257:3236 | 10/29/12 08:11:30 | 29   | 29   | 1220533.767    | 1176024.329   |
| 206258:3236 | 10/29/12 08:27:44 | 249  | 249  | 9557299.849    | 9468379.934   |
| 206302:3238 | 10/29/12 21:18:22 | 269  | 269  | 34678458.186   | 34084602.035  |
| 206303:3238 | 10/29/12 23:12:05 | 286  | 286  | 30086108.232   | 29652451.293  |
| 206304:3238 | 10/30/12 01:08:29 | 62   | 62   | 5817420.060    | 5770292.602   |
| 206331:3240 | 10/30/12 10:40:28 | 207  | 207  | 30302897.200   | 29740566.123  |
| 206389:3242 | 10/30/12 17:38:28 | 289  | 289  | 40640084.644   | 39506443.181  |
| 206391:3242 | 10/30/12 21:29:26 | 86   | 86   | 8514666.472    | 8442328.475   |
| 206401:3244 | 10/31/12 02:14:40 | 310  | 310  | 45011079.745   | 43905169.659  |
| 206448:3249 | 11/01/12 02:37:21 | 1234 | 1234 | 78922798.832   | 78128225.294  |
| 206466:3250 | 11/01/12 13:57:21 | 468  | 468  | 60495480.366   | 59151224.707  |
| 206476:3252 | 11/02/12 00:48:30 | 128  | 128  | 19763930.099   | 18633213.814  |
| 206477:3252 | 11/02/12 01:49:20 | 174  | 174  | 23003349.980   | 22360105.488  |
| 206478:3252 | 11/02/12 03:03:32 | 143  | 143  | 16601988.747   | 16425558.691  |
| 206484:3253 | 11/02/12 06:46:41 | 576  | 576  | 75056136.261   | 73611503.693  |
| 206512:3259 | 11/02/12 21:40:52 | 1108 | 1108 | 116479347.440  | 114618881.327 |
| 206513:3259 | 11/03/12 04:58:52 | 323  | 323  | 23050566.208   | 22877442.538  |
| 206539:3261 | 11/03/12 17:15:24 | 2    | 2    | 326902.409     | 1578.427      |
| 206542:3261 | 11/03/12 17:32:08 | 795  | 795  | 93563566.294   | 91793291.375  |
| 206550:3262 | 11/04/12 02:00:33 | 65   | 65   | 9677423.076    | 9287518.799   |
| 206572:3264 | 11/04/12 10:54:54 | 11   | 11   | 1764777.563    | 1380021.657   |
| 206573:3264 | 11/04/12 11:07:19 | 14   | 14   | 2144764.398    | 1951940.689   |
| 206574:3264 | 11/04/12 11:18:31 | 81   | 81   | 11273886.878   | 11041643.760  |
| 206575:3264 | 11/04/12 11:58:57 | 68   | 68   | 8546742.485    | 8383678.356   |
| 206594:3265 | 11/04/12 23:32:45 | 205  | 205  | 29856901.639   | 28988710.773  |
| 206595:3265 | 11/05/12 01:00:04 | 193  | 193  | 23535048.386   | 23260044.592  |
| 206596:3265 | 11/05/12 02:38:52 | 809  | 809  | 71565714.387   | 70913548.357  |
| 206598:3265 | 11/05/12 07:56:10 | 717  | 717  | 43466264.352   | 43143082.243  |
| 206605:3265 | 11/05/12 12:37:49 | 78   | 78   | 3901406.886    | 3879624.637   |
| 206744:3266 | 11/05/12 20:17:38 | 4    | 4    | 467905.726     | 318926.519    |
| 206745:3266 | 11/05/12 23:09:11 | 1863 | 1863 | 129658411.397  | 128580744.025 |
| 206859:3269 | 11/07/12 11:43:33 | 745  | 745  | 94874473.123   | 93208412.001  |
| 206866:3269 | 11/07/12 16:48:02 | 321  | 321  | 29830400.135   | 29486888.162  |
| 206867:3269 | 11/07/12 18:56:06 | 10   | 10   | 854614.444     | 833354.165    |
| 206868:3269 | 11/07/12 19:04:43 | 16   | 16   | 1352281.968    | 1307287.430   |
| 206869:3269 | 11/07/12 19:14:32 | 752  | 752  | 52987347.599   | 52577384.188  |
| 206897:3272 | 11/08/12 11:53:03 | 107  | 107  | 16025512.965   | 14868109.684  |
| 206901:3272 | 11/08/12 12:48:56 | 95   | 95   | 12700037.256   | 12479938.007  |
| 206906:3272 | 11/08/12 13:35:05 | 191  | 191  | 22576084.958   | 21574147.865  |
| 206939:3273 | 11/09/12 00:48:53 | 171  | 171  | 23889228.675   | 23209914.943  |
| 206940:3273 | 11/09/12 02:05:52 | 669  | 669  | 66751612.629   | 65891169.939  |
| 207099:3279 | 11/11/12 18:52:02 | 938  | 938  | 105447586.876  | 103902137.519 |
| 207100:3279 | 11/12/12 01:58:52 | 94   | 94   | 7477557.827    | 7404994.891   |
| 207214:3285 | 11/13/12 11:57:00 | 773  | 773  | 92653970.387   | 91170682.593  |
| 207217:3285 | 11/13/12 17:16:26 | 32   | 32   | 2940895.762    | 2904206.480   |
| 207219:3285 | 11/13/12 17:31:07 | 112  | 112  | 9912352.852    | 9733584.308   |
| 207220:3285 | 11/13/12 18:18:46 | 160  | 160  | 13226110.291   | 13029375.835  |
| 207221:3285 | 11/13/12 19:28:37 | 102  | 102  | 7833978.116    | 7715887.741   |
| 207222:3285 | 11/13/12 20:12:04 | 287  | 287  | 20057434.547   | 19867377.082  |
| 207231:3286 | 11/14/12 01:32:53 | 1408 | 1408 | 149037919.520  | 144965434.033 |
| 207233:3286 | 11/14/12 10:54:35 | 148  | 148  | 9898326.378    | 9816018.366   |
| 207269:3287 | 11/14/12 17:33:01 | 471  | 471  | 57309549.474   | 56279216.904  |
| 207273:3287 | 11/14/12 20:48:52 | 877  | 877  | 74906160.738   | 74110546.326  |
| 207279:3288 | 11/15/12 06:02:20 | 120  | 120  | 13005072.083   | 12800026.838  |
| 207371:3292 | 11/16/12 03:17:11 | 45   | 45   | 6464585.757    | 6267723.878   |
| 207372:3292 | 11/16/12 03:43:31 | 487  | 487  | 57487728.726   | 56360965.348  |
| 207397:3293 | 11/16/12 09:29:18 | 38   | 38   | 5629997.254    | 5412939.452   |
| 207398:3293 | 11/16/12 10:31:31 | 23   | 23   | 3072393.893    | 3026001.914   |
| 207454:3296 | 11/17/12 06:24:43 | 1881 | 1881 | 176140507.195  | 173972998.157 |
| 207469:3297 | 11/17/12 21:45:50 | 36   | 36   | 5771602.599    | 5606386.213   |
| 207477:3298 | 11/18/12 00:29:01 | 396  | 396  | 54763510.827   | 53604592.653  |
| 207487:3299 | 11/18/12 08:54:30 | 350  | 350  | 48514266.609   | 47547072.718  |
| 207488:3299 | 11/18/12 11:43:15 | 440  | 440  | 45834344.756   | 45314398.261  |
| 207490:3299 | 11/18/12 14:37:32 | 142  | 142  | 12707966.421   | 12502990.131  |
| 207491:3299 | 11/18/12 15:36:18 | 458  | 458  | 34917882.930   | 34629539.053  |
| 207492:3299 | 11/18/12 18:38:39 | 298  | 298  | 18833900.425   | 18662589.322  |
| 207515:3300 | 11/19/12 03:39:31 | 1017 | 1017 | 119967564.639  | 117960712.774 |
| 207517:3300 | 11/19/12 11:03:05 | 59   | 59   | 4862677.523    | 4801517.101   |
| 207518:3300 | 11/19/12 11:31:08 | 83   | 83   | 6547826.848    | 6496904.337   |
| 207882:3318 | 11/24/12 07:52:19 | 23   | 23   | 3318088.525    | 3076527.675   |
| 207883:3318 | 11/24/12 08:06:02 | 66   | 66   | 9155649.565    | 8458989.913   |
| 207884:3318 | 11/24/12 08:37:03 | 168  | 168  | 21057328.572   | 20477513.793  |
| 207885:3318 | 11/24/12 10:02:45 | 87   | 87   | 9544846.014    | 9139683.940   |
| 207886:3318 | 11/24/12 10:39:42 | 168  | 168  | 16956232.617   | 16482836.479  |
| 207887:3318 | 11/24/12 11:53:29 | 30   | 30   | 2834624.943    | 2702682.637   |
| 207889:3318 | 11/24/12 12:12:21 | 943  | 943  | 69407637.718   | 68640042.184  |
| 207898:3319 | 11/24/12 21:53:33 | 256  | 256  | 33138818.802   | 32562387.245  |
| 207905:3322 | 11/25/12 02:54:37 | 1709 | 1709 | 165392584.020  | 162921412.985 |
| 207920:3323 | 11/25/12 17:21:57 | 728  | 728  | 89770336.108   | 87961055.927  |
| 207921:3323 | 11/25/12 22:13:52 | 58   | 58   | 5594001.928    | 5520612.755   |
| 207922:3323 | 11/25/12 23:10:31 | 291  | 291  | 24764550.619   | 24395856.749  |
| 207924:3323 | 11/26/12 01:05:37 | 339  | 339  | 24822497.397   | 24585864.728  |
| 208304:3347 | 11/30/12 01:16:08 | 5    | 5    | 746083.303     | 682000.714    |
| 208307:3347 | 11/30/12 01:28:54 | 1324 | 1324 | 127555880.755  | 125910842.332 |
| 208339:3350 | 11/30/12 17:11:29 | 259  | 259  | 34328247.501   | 33434604.388  |
| 208341:3350 | 11/30/12 19:27:53 | 661  | 661  | 59915749.139   | 59107516.559  |
| 208351:3351 | 12/01/12 06:13:48 | 270  | 270  | 37048142.759   | 35892210.494  |
| 208352:3351 | 12/01/12 08:09:15 | 16   | 16   | 1905558.790    | 1773370.179   |
| 208353:3351 | 12/01/12 08:19:43 | 346  | 346  | 36026773.457   | 35503440.275  |
| 208357:3351 | 12/01/12 10:41:33 | 506  | 506  | 40719347.684   | 40343819.336  |
| 208390:3360 | 12/02/12 01:56:26 | 130  | 130  | 19595733.608   | 17756338.631  |
| 208391:3360 | 12/02/12 03:01:54 | 823  | 823  | 86842861.089   | 85206549.104  |
| 208407:3360 | 12/02/12 13:55:49 | 18   | 18   | 1005898.304    | 999485.825    |
| 208427:3363 | 12/02/12 21:28:50 | 587  | 587  | 74303993.074   | 72786413.466  |
| 208428:3363 | 12/03/12 01:25:54 | 227  | 227  | 22012269.803   | 21520158.628  |
| 208429:3363 | 12/03/12 02:59:14 | 869  | 869  | 63717118.722   | 63177649.186  |
| 208487:3370 | 12/04/12 03:30:31 | 611  | 611  | 74985965.566   | 73704623.577  |
| 208509:3372 | 12/04/12 11:01:42 | 162  | 162  | 1137749.034    | 1126877.496   |
| 208538:3374 | 12/04/12 16:44:22 | 38   | 38   | 6021232.143    | 5647408.078   |
| 208540:3374 | 12/04/12 17:04:54 | 93   | 93   | 13492469.331   | 12933673.642  |
| 208541:3374 | 12/04/12 17:44:39 | 412  | 412  | 47348093.576   | 46635911.600  |
| 208551:3375 | 12/05/12 05:20:21 | 453  | 453  | 58415469.590   | 57059136.623  |
| 208686:3378 | 12/05/12 21:00:50 | 362  | 362  | 50889548.240   | 49727985.032  |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+--------+--------+-------------------+------------------+
| nfill | nrun | nls    | ncms   | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+--------+--------+-------------------+------------------+
| 217   | 508  | 187410 | 187410 | 17619051169.458   | 17306599849.128  |
+-------+------+--------+--------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
